"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"60.38298","8.15","8.15","8.15","9.15","9.15","9.15","9.23","9.23","9.23","9.17","9.17","9.17"
"60.38861","7.34","7.34","7.34","8.35","8.35","8.35","8.47","8.47","8.47","8.43","8.43","8.43"
"60.3961","6.49","6.49","6.49","7.93","7.93","7.93","7.99","7.99","7.99","7.95","7.95","7.95"
"60.397811","7.98","7.98","7.98","8.99","8.99","8.99","9.06","9.06","9.06","9.01","9.01","9.01"
"60.402942","8.32","8.32","8.32","9.11","9.11","9.11","9.18","9.18","9.18","9.13","9.13","9.13"
"60.404196","7.94","7.94","7.94","9.12","9.12","9.12","9.02","9.02","9.02","8.96","8.96","8.96"
"60.408676","10.49","10.49","10.49","11.01","11.01","11.01","11.19","11.19","11.19","10.37","10.37","10.37"
"60.41756","6.14","6.14","6.14","7.59","7.59","7.59","7.64","7.64","7.64","7.6","7.6","7.6"
"60.428249","5.91","5.91","5.91","7.57","7.57","7.57","7.62","7.62","7.62","7.59","7.59","7.59"
"60.460227","8.57","8.57","8.57","9.36","9.36","9.36","9.44","9.44","9.44","9.38","9.38","9.38"
"90.383852","40.94","40.94","40.94","43.48","43.48","43.48","42.1","42.1","42.1","41.85","41.85","41.85"
"90.389562","18.92","18.92","18.92","20.58","20.58","20.58","20.53","20.53","20.53","19.21","19.21","19.21"
"90.397143","13.85","13.85","13.85","13.6","13.6","13.6","13.96","13.96","13.96","13.48","13.48","13.48"
"90.398788","38.53","38.53","38.53","39.54","39.54","39.54","39.66","39.66","39.66","39.68","39.68","39.68"
"90.405047","22.57","22.57","22.57","24.27","24.27","24.27","23.22","23.22","23.22","23.45","23.45","23.45"
