"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"60.38298","1.53","1.53","1.53"
"60.38861","1.87","1.87","1.87"
"60.3961","2.2","2.2","2.2"
"60.397811","0.33","0.33","0.33"
"60.402942","6.27","6.27","6.27"
"60.404196","0.27","0.27","0.27"
"60.408676","29.8","29.8","29.8"
"60.41756","0.6","0.6","0.6"
"60.428249","3.13","3.13","3.13"
"60.460227","0.8","0.8","0.8"
"90.383852","67.4","67.4","67.4"
"90.389562","20.53","20.53","20.53"
"90.397143","27.2","27.2","27.2"
"90.398788","38.53","38.53","38.53"
"90.405047","31.07","31.07","31.07"
"90.407417","38.93","38.93","38.93"
"90.409872","80.6","80.6","80.6"
"90.418847","7.2","7.2","7.2"
"90.4291","7.33","7.33","7.33"
"90.461445","30","30","30"
"120.384936","95.27","95.27","95.27"
"120.390543","94.13","94.13","94.13"
"120.398067","81.27","81.27","81.27"
"120.400054","95.13","95.13","95.13"
"120.406012","93.33","93.33","93.33"
"120.408336","99.93","99.93","99.93"
"120.410747","92.4","92.4","92.4"
"120.419787","33.4","33.4","33.4"
"120.430879","66.13","66.13","66.13"
"120.462668","90.33","90.33","90.33"
"150.385992","100","100","100"
"150.392674","99.8","99.8","99.8"
"150.398939","100","100","100"
"150.400971","100","100","100"
"150.407032","100","100","100"
"150.409308","99.6","99.6","99.6"
"150.412383","99.67","99.67","99.67"
"150.420609","99.87","99.87","99.87"
"150.431852","93.27","93.27","93.27"
"150.463755","99.93","99.93","99.93"
"180.386979","99.93","99.93","99.93"
"180.399952","99.93","99.93","99.93"
"180.402841","100","100","100"
"180.404462","99.27","99.27","99.27"
"180.40831","97.07","97.07","97.07"
"180.414341","100","100","100"
"180.421602","100","100","100"
"180.433051","99.93","99.93","99.93"
"180.443268","99.6","99.6","99.6"
"180.464611","100","100","100"
"210.390783","99.87","99.87","99.87"
"210.400963","99.33","99.33","99.33"
"210.415375","99.8","99.8","99.8"
"210.41591","100","100","100"
"210.422962","99.87","99.87","99.87"
"210.434039","100","100","100"
"210.436032","100","100","100"
"210.465991","99.93","99.93","99.93"
"210.509192","99.73","99.73","99.73"
"240.394134","100","100","100"
"240.401957","99.93","99.93","99.93"
"240.416398","99.73","99.73","99.73"
"240.423815","99.93","99.93","99.93"
"240.435107","92.87","92.87","92.87"
"240.437888","93.93","93.93","93.93"
"240.459708","99.87","99.87","99.87"
"240.473715","98.07","98.07","98.07"
"240.513271","100","100","100"
"270.398923","100","100","100"
"270.403343","99.8","99.8","99.8"
"270.417688","99.93","99.93","99.93"
"270.424761","99.8","99.8","99.8"
"270.438903","99.93","99.93","99.93"
"270.460727","99.47","99.47","99.47"
"270.480304","96.8","96.8","96.8"
"270.514256","100","100","100"
"271.092708","99.8","99.8","99.8"
"300.404415","100","100","100"
"300.408815","93.13","93.13","93.13"
"300.41919","99.87","99.87","99.87"
"300.428378","99.93","99.93","99.93"
"300.440879","99.8","99.8","99.8"
"300.461659","100","100","100"
"300.483212","99.53","99.53","99.53"
"300.51517","99.47","99.47","99.47"
"301.215458","93.53","93.53","93.53"
"330.407564","99.67","99.67","99.67"
"330.417803","99.73","99.73","99.73"
"330.42013","99.93","99.93","99.93"
"330.431997","99.73","99.73","99.73"
"330.462664","99.8","99.8","99.8"
"330.485686","92.47","92.47","92.47"
"330.51614","99.67","99.67","99.67"
"331.216411","100","100","100"
"360.408497","94.07","94.07","94.07"
"360.418676","99","99","99"
"360.423386","99.8","99.8","99.8"
"360.463903","99.8","99.8","99.8"
"360.493119","93.4","93.4","93.4"
"360.517017","99.93","99.93","99.93"
"361.219376","99.93","99.93","99.93"
"390.409429","100","100","100"
"390.421676","100","100","100"
"390.424369","98.53","98.53","98.53"
"390.465624","99.73","99.73","99.73"
"390.503034","93.13","93.13","93.13"
"390.518067","99.8","99.8","99.8"
"391.220196","93.33","93.33","93.33"
"420.422711","100","100","100"
"420.425362","100","100","100"
"420.468947","100","100","100"
"420.505356","93.8","93.8","93.8"
"420.519101","99.6","99.6","99.6"
"421.221109","100","100","100"
"450.425914","99.53","99.53","99.53"
"450.42634","100","100","100"
"450.469864","99.93","99.93","99.93"
"450.508671","95.73","95.73","95.73"
"450.519988","99.33","99.33","99.33"
"451.22211","100","100","100"
