"Step","base_config_0118 - train_geopotential_level1000hPa_lwrmse","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MIN","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MAX"
"33822","138.92200107119785","137.42232866960484","140.42167347279087"
"33825","137.93933043565212","137.273026298476","138.60563457282825"
"33828","127.18846078223777","126.2164524166261","128.16046914784943"
"33831","134.49239907134506","133.36659365564253","135.6182044870476"
"33834","131.40786090256438","130.5593435211538","132.25637828397498"
"33837","139.19370147862577","136.07441459079905","142.31298836645252"
"33840","129.70416247660825","129.19197456461697","130.21635038859955"
"33843","128.57548483756176","128.25561968546225","128.8953499896613"
"33846","129.47963595339377","127.73880682792493","131.2204650788626"
"33849","128.4706786390597","127.35629593904247","129.585061339077"
"33852","134.0316992700565","132.38053660803615","135.68286193207686"
"33855","128.5109616420221","127.90253681386761","129.1193864701766"
"33858","130.15503150813876","128.77918707378547","131.53087594249206"
"33861","134.12562988165695","133.8514831121062","134.39977665120767"
"33864","135.61166792184292","132.061857571041","139.16147827264484"
"33867","127.89983496446479","125.07872178891898","130.7209481400106"
"33870","127.5519326553086","125.54535046596924","129.55851484464796"
"33873","128.73487429866037","126.13297402543705","131.33677457188367"
"33876","140.6288304819339","133.5336614889567","147.7239994749111"
"33879","141.0588976612591","135.1695892272545","146.94820609526366"
"33882","129.06114463728238","127.54332204857494","130.5789672259898"
"33885","131.2462234618385","129.96807495023697","132.52437197344005"
"33888","135.16628893920813","134.00471747704924","136.32786040136705"
"33891","139.63478761079784","137.57522303390508","141.69435218769058"
"33894","131.58893318833952","131.56187943812392","131.61598693855515"
"33897","141.20697953849987","136.65735134473894","145.75660773226076"
"33900","131.88916758617177","130.7934821204557","132.9848530518878"
"33903","128.46146728301608","127.51888838635125","129.4040461796809"
"33906","130.14954358528053","128.5891589707045","131.7099281998566"
"33909","126.51580753594206","125.60634332883363","127.4252717430505"
"33912","133.33103002814076","132.36794263467317","134.29411742160835"
"33915","129.70581287462718","127.6414580125799","131.77016773667447"
"33918","136.4978147970928","135.48045251681745","137.51517707736812"
"33921","141.53281583913554","136.318370625663","146.7472610526081"
"33924","135.16341180136726","133.41135727861072","136.91546632412377"
"33927","128.8912581136581","128.59211060434725","129.19040562296894"
"33930","137.37291436557138","135.18547575732254","139.56035297382024"
"33933","131.29095186698376","130.37159373108707","132.21031000288045"
"33936","133.319571741066","130.93281252077995","135.70633096135205"
"33939","124.78004995715582","124.18799523381786","125.37210468049378"
"33942","128.29756201028","125.2800798622892","131.31504415827078"
"33945","126.22214919535743","123.1316126386044","129.31268575211047"
"33948","129.6431634663984","127.10023995153642","132.18608698126036"
"33951","126.8828054902391","126.47898781616365","127.28662316431452"
"33954","126.36631157346139","125.8245305970358","126.90809254988697"
"33957","127.49996801401534","124.94913732818203","130.05079869984863"
"33960","138.19842403256303","136.66736633857147","139.7294817265546"
"33963","139.5704106148694","137.81016345414153","141.33065777559722"
"33966","153.76712476946437","145.16282770406195","162.37142183486677"
"33969","137.59475043483314","137.415693351443","137.77380751822332"
"33972","130.47818376976375","129.06310532153506","131.89326221799246"
"33975","136.64152853197692","133.34523650362604","139.9378205603278"
"33978","135.14541115507512","131.78174626769956","138.50907604245066"
"33981","130.75449946415836","130.5826829874524","130.92631594086436"
"33984","130.06516397729038","129.92625328837767","130.2040746662031"
"33987","132.13331373901173","130.69778757993237","133.5688398980911"
"33990","139.73266848150283","139.61255957734016","139.8527773856655"
"33993","132.07207287089423","130.73505963134392","133.40908611044455"
"33996","130.08287589258381","128.91815095826684","131.2476008269008"
"33999","136.9317916591258","135.6461341256801","138.2174491925715"
"34002","128.77917568132227","126.95453617660243","130.60381518604214"
"34005","125.1752660414931","123.47025891630756","126.88027316667866"
"34008","135.91509968985983","135.8719391203173","135.95826025940235"
"34011","124.63026833990463","124.0829988178365","125.17753786197277"
"34014","129.6821048090618","127.31954559938904","132.04466401873455"
"34017","129.28913773691403","126.17833666885294","132.3999388049751"
"34020","131.73563809064638","130.01253346448146","133.45874271681132"
"34023","131.27905695057672","129.49792026013847","133.06019364101493"
"34026","135.59209065608292","134.9468705242195","136.2373107879463"
"34029","127.21218615795036","125.1018415580484","129.3225307578523"
"34032","134.80691435765084","132.51723060663014","137.09659810867151"
"34035","134.66132887016315","131.85084552597823","137.47181221434806"
"34038","129.6908677763057","125.25315304483334","134.12858250777805"
"34041","130.60533686146812","130.60533686146812","130.60533686146812"
"34044","139.641988302842","139.641988302842","139.641988302842"
"34047","129.56398349067734","129.56398349067734","129.56398349067734"
"34050","129.97008561011492","129.97008561011492","129.97008561011492"
"34053","130.57832975762258","130.57832975762258","130.57832975762258"
"34056","129.42767860073607","129.42767860073607","129.42767860073607"
"34059","130.15921598347293","130.15921598347293","130.15921598347293"
"34062","126.91371506830497","126.91371506830497","126.91371506830497"
"34065","136.36273212310607","136.36273212310607","136.36273212310607"
"34068","133.07191714592943","133.07191714592943","133.07191714592943"
"34071","130.19496914116863","130.19496914116863","130.19496914116863"
"34074","137.72159792082414","137.72159792082414","137.72159792082414"
"34077","137.58468916409697","137.58468916409697","137.58468916409697"
"34080","140.34171717892062","140.34171717892062","140.34171717892062"
"34083","131.74113789305622","131.74113789305622","131.74113789305622"
"34086","136.06450258803093","136.06450258803093","136.06450258803093"
"34089","133.75551445384815","133.75551445384815","133.75551445384815"
"34092","136.55273777028185","136.55273777028185","136.55273777028185"
"34095","132.4432136944793","132.4432136944793","132.4432136944793"
"34098","135.92185520247835","135.92185520247835","135.92185520247835"
"34101","127.78609445349699","127.78609445349699","127.78609445349699"
"34104","125.40166593482753","125.40166593482753","125.40166593482753"
"34107","133.03657969856778","133.03657969856778","133.03657969856778"
"34110","134.5053564755359","134.5053564755359","134.5053564755359"
"34113","139.30356637066504","139.30356637066504","139.30356637066504"
"34116","129.07869174938094","129.07869174938094","129.07869174938094"
"34119","127.98941568673803","127.98941568673803","127.98941568673803"
"34122","136.56465484099533","136.56465484099533","136.56465484099533"
"34125","132.96608237835494","132.96608237835494","132.96608237835494"
"34128","138.10307556673942","138.10307556673942","138.10307556673942"
"34131","131.6999791938449","131.6999791938449","131.6999791938449"
"34134","129.37583752328123","129.37583752328123","129.37583752328123"
"34137","134.68727480950852","134.68727480950852","134.68727480950852"
"34140","135.83891440196888","135.83891440196888","135.83891440196888"
"34143","131.52543037666067","131.52543037666067","131.52543037666067"
"34146","130.87184113832373","130.87184113832373","130.87184113832373"
"34149","132.4502108960257","132.4502108960257","132.4502108960257"
"34152","132.10752098809223","132.10752098809223","132.10752098809223"
"34155","128.4203000196065","128.4203000196065","128.4203000196065"
"34158","132.04726471580992","132.04726471580992","132.04726471580992"
"34161","125.27049566836536","125.27049566836536","125.27049566836536"
"34164","126.38298501026921","126.38298501026921","126.38298501026921"
"34167","132.17933228832626","132.17933228832626","132.17933228832626"
"34170","132.12683402615687","132.12683402615687","132.12683402615687"
"34173","133.71293968478025","133.71293968478025","133.71293968478025"
"34176","137.06387727491276","137.06387727491276","137.06387727491276"
"34179","137.5729568419979","137.5729568419979","137.5729568419979"
"34182","131.11483183057848","131.11483183057848","131.11483183057848"
"34185","126.97057462764079","126.97057462764079","126.97057462764079"
"34188","133.2859335915594","133.2859335915594","133.2859335915594"
"34191","125.48074267318177","125.48074267318177","125.48074267318177"
"34194","124.26125310652408","124.26125310652408","124.26125310652408"
"34197","137.9110523228796","137.9110523228796","137.9110523228796"
"34200","140.18344872510423","140.18344872510423","140.18344872510423"
"34203","133.41535515731695","133.41535515731695","133.41535515731695"
"34206","137.2102600064206","137.2102600064206","137.2102600064206"
"34209","127.24200328907357","127.24200328907357","127.24200328907357"
"34212","132.06767250376717","132.06767250376717","132.06767250376717"
"34215","137.0569887621513","137.0569887621513","137.0569887621513"
"34218","134.1042294074541","134.1042294074541","134.1042294074541"
"34221","135.11902865500508","135.11902865500508","135.11902865500508"
"34224","132.9451734346119","132.9451734346119","132.9451734346119"
"34227","140.37838478523372","140.37838478523372","140.37838478523372"
"34230","132.4951055523646","132.4951055523646","132.4951055523646"
"34233","126.22683479577641","126.22683479577641","126.22683479577641"
"34236","128.3729005864259","128.3729005864259","128.3729005864259"
"34239","127.48242155926525","127.48242155926525","127.48242155926525"
"34242","129.8825813948647","129.8825813948647","129.8825813948647"
"34245","126.62399252192738","126.62399252192738","126.62399252192738"
"34248","130.61172006511765","130.61172006511765","130.61172006511765"
