"Step","base_config_0118 - train_10m_u_component_of_wind_lwrmse","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MIN","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MAX"
"33822","1.5831014820965046","1.5701204779200946","1.5960824862729146"
"33825","1.5688144704385265","1.5643381192769552","1.5732908216000978"
"33828","1.5328400109507658","1.524848062135931","1.5408319597656004"
"33831","1.5560330037733756","1.5413945237683304","1.5706714837784206"
"33834","1.5573486691393037","1.5497277986929994","1.5649695395856082"
"33837","1.573275202827738","1.5619463817342925","1.5846040239211834"
"33840","1.5249894371223793","1.51672945004678","1.5332494241979786"
"33843","1.5223503400304539","1.5138780899671136","1.530822590093794"
"33846","1.5308356655930158","1.5229531671411645","1.538718164044867"
"33849","1.5397502873166757","1.536974277105659","1.5425262975276925"
"33852","1.552203048898403","1.5484298715626796","1.5559762262341263"
"33855","1.5234998322657722","1.5205053517670266","1.5264943127645179"
"33858","1.5183070773172087","1.5098484260122538","1.5267657286221636"
"33861","1.5509875584390551","1.5450139086044765","1.5569612082736335"
"33864","1.5503059161471633","1.5426902738454247","1.5579215584489021"
"33867","1.5171216701052472","1.5065277529365528","1.5277155872739419"
"33870","1.5294070573404475","1.519630210034753","1.539183904646142"
"33873","1.5450116302422585","1.5371332046623796","1.5528900558221372"
"33876","1.5767872637225462","1.5680014225642376","1.5855731048808548"
"33879","1.56324926637248","1.5495752465103578","1.5769232862346019"
"33882","1.5427071097866998","1.5250908722677123","1.560323347305687"
"33885","1.5461410610428357","1.5418436284139068","1.5504384936717646"
"33888","1.5483292396891664","1.544496820824001","1.5521616585543316"
"33891","1.5474110551316471","1.5292604038818642","1.56556170638143"
"33894","1.5513769802739281","1.5428497958372782","1.5599041647105782"
"33897","1.5843818059091197","1.5721174559043352","1.5966461559139042"
"33900","1.5415283414773433","1.5336665242337044","1.5493901587209824"
"33903","1.537286279426656","1.5297594342666176","1.5448131245866943"
"33906","1.5581074556165198","1.5509198089245948","1.5652951023084447"
"33909","1.539276584280207","1.5357085858650625","1.5428445826953512"
"33912","1.5715898359458642","1.5682923395405366","1.5748873323511918"
"33915","1.5285193996782818","1.5226750012605563","1.5343637980960074"
"33918","1.6008311788092038","1.5934564824822608","1.6082058751361465"
"33921","1.5669872021380618","1.5384089354843238","1.5955654687917997"
"33924","1.5701801808646676","1.5674021056035305","1.5729582561258046"
"33927","1.533339450802696","1.5261842970060817","1.5404946045993104"
"33930","1.5928555175799555","1.5830582981730166","1.6026527369868946"
"33933","1.5563701724011678","1.5448932320200164","1.5678471127823193"
"33936","1.5756721594379455","1.5574574998153325","1.5938868190605584"
"33939","1.5289543168710669","1.5278812305195588","1.5300274032225751"
"33942","1.5328710991404857","1.5226780846209111","1.5430641136600605"
"33945","1.5215689501784149","1.5073014307422767","1.535836469614553"
"33948","1.547951701250615","1.5379418748881173","1.5579615276131127"
"33951","1.5144707880807853","1.4997402286853139","1.5292013474762565"
"33954","1.5255015880904477","1.5163325588229806","1.5346706173579145"
"33957","1.5289843611577876","1.5227809972714268","1.5351877250441484"
"33960","1.544462999299817","1.5187795823585988","1.5701464162410352"
"33963","1.5498409290987554","1.5442114578080108","1.5554704003894997"
"33966","1.6047440718131307","1.5910085762365278","1.6184795673897339"
"33969","1.586786788945719","1.5843013999366187","1.5892721779548191"
"33972","1.5474193980443376","1.5380075926264658","1.5568312034622096"
"33975","1.5580911203601455","1.5541339398419218","1.5620483008783692"
"33978","1.5322650047032078","1.5307340597666075","1.5337959496398081"
"33981","1.5334317640137742","1.5066347262604265","1.560228801767122"
"33984","1.551497730616245","1.5305603255352285","1.5724351356972615"
"33987","1.541039757382738","1.538557222398933","1.5435222923665426"
"33990","1.615713950291765","1.6056775447536356","1.6257503558298945"
"33993","1.5441556675420465","1.5299591685290548","1.5583521665550384"
"33996","1.518619581898475","1.5034664584835395","1.53377270531341"
"33999","1.5877107237821955","1.5736303131300131","1.6017911344343778"
"34002","1.5455808809244833","1.5437282228764615","1.5474335389725054"
"34005","1.5254035254831158","1.5244779583293036","1.526329092636928"
"34008","1.5861757097015863","1.5734793706896184","1.5988720487135542"
"34011","1.5262353228711647","1.5194048832343339","1.5330657625079953"
"34014","1.5561273301682725","1.5390386139120462","1.5732160464244989"
"34017","1.5494693443911132","1.5364232959252782","1.562515392856948"
