"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"60.38298","3501204002.13","3501204002.13","3501204002.13","3931819212.8","3931819212.8","3931819212.8","3965373644.8","3965373644.8","3965373644.8","3940207820.8","3940207820.8","3940207820.8"
"60.38861","3153636010.67","3153636010.67","3153636010.67","3609836475.73","3609836475.73","3609836475.73","3638497553.07","3638497553.07","3638497553.07","3621161096.53","3621161096.53","3621161096.53"
"60.3961","2787333461.33","2787333461.33","2787333461.33","3407810833.07","3407810833.07","3407810833.07","3431298935.47","3431298935.47","3431298935.47","3413682858.67","3413682858.67","3413682858.67"
"60.397811","3428083302.4","3428083302.4","3428083302.4","3861494715.73","3861494715.73","3861494715.73","3891693704.53","3891693704.53","3891693704.53","3868904652.8","3868904652.8","3868904652.8"
"60.402942","3572087739.73","3572087739.73","3572087739.73","3911267123.2","3911267123.2","3911267123.2","3944681745.07","3944681745.07","3944681745.07","3919515921.07","3919515921.07","3919515921.07"
"60.404196","3409768174.93","3409768174.93","3409768174.93","3914902186.67","3914902186.67","3914902186.67","3872959146.67","3872959146.67","3872959146.67","3850309905.07","3850309905.07","3850309905.07"
"60.408676","4506438860.8","4506438860.8","4506438860.8","4729436023.47","4729436023.47","4729436023.47","4805772356.27","4805772356.27","4805772356.27","4453730440.53","4453730440.53","4453730440.53"
"60.41756","2636478327.47","2636478327.47","2636478327.47","3259472281.6","3259472281.6","3259472281.6","3279604940.8","3279604940.8","3279604940.8","3264505446.4","3264505446.4","3264505446.4"
"60.428249","2539030664.53","2539030664.53","2539030664.53","3253180825.6","3253180825.6","3253180825.6","3273313484.8","3273313484.8","3273313484.8","3258213990.4","3258213990.4","3258213990.4"
"60.460227","3682118314.67","3682118314.67","3682118314.67","4022136558.93","4022136558.93","4022136558.93","4055131750.4","4055131750.4","4055131750.4","4029686306.13","4029686306.13","4029686306.13"
"90.383852","17581482530.13","17581482530.13","17581482530.13","18675496823.47","18675496823.47","18675496823.47","18080884326.4","18080884326.4","18080884326.4","17973789764.27","17973789764.27","17973789764.27"
"90.389562","8125424162.13","8125424162.13","8125424162.13","8838036411.73","8838036411.73","8838036411.73","8818882423.47","8818882423.47","8818882423.47","8249715370.67","8249715370.67","8249715370.67"
"90.397143","5950258107.73","5950258107.73","5950258107.73","5841905254.4","5841905254.4","5841905254.4","5994857540.27","5994857540.27","5994857540.27","5787938542.93","5787938542.93","5787938542.93"
"90.398788","16550382796.8","16550382796.8","16550382796.8","16983234969.6","16983234969.6","16983234969.6","17033426807.47","17033426807.47","17033426807.47","17044471808","17044471808","17044471808"
"90.405047","9692975377.07","9692975377.07","9692975377.07","10424601804.8","10424601804.8","10424601804.8","9973574314.67","9973574314.67","9973574314.67","10073538560","10073538560","10073538560"
"90.407417","10240751479.47","10240751479.47","10240751479.47","10161618944","10161618944","10161618944","10211670971.73","10211670971.73","10211670971.73","10214187554.13","10214187554.13","10214187554.13"
"90.409872","25016165990.4","25016165990.4","25016165990.4","24973943330.13","24973943330.13","24973943330.13","25014348458.67","25014348458.67","25014348458.67","25124798464","25124798464","25124798464"
"90.418847","5526773213.87","5526773213.87","5526773213.87","5802478796.8","5802478796.8","5802478796.8","5712021640.53","5712021640.53","5712021640.53","5743898350.93","5743898350.93","5743898350.93"
"90.4291","5530268467.2","5530268467.2","5530268467.2","5595979229.87","5595979229.87","5595979229.87","5748931515.73","5748931515.73","5748931515.73","5780948036.27","5780948036.27","5780948036.27"
"90.461445","15273077418.67","15273077418.67","15273077418.67","16046786696.53","16046786696.53","16046786696.53","15175629755.73","15175629755.73","15175629755.73","15679365666.13","15679365666.13","15679365666.13"
"120.384936","32200030071.47","32200030071.47","32200030071.47","32162421145.6","32162421145.6","32162421145.6","32212752793.6","32212752793.6","32212752793.6","32175004057.6","32175004057.6","32175004057.6"
